,Algorithm,MSE,RMSE,MAE,MAPE,Mean_True_Value,Mean_Predict_Value
0,Original - Time Series Regression,5296.329792442933,60.78458456475943,42.96063145055911,25.55366344564189,179.56048387096774,168.0085962902781
1,Deseasonal - Time Series Regression,5081.777759510358,58.208746398631924,40.122246901174975,23.488563265712116,179.56048387096774,164.67008450435145
2,BoxCox - Time Series Regression,5328.602464933523,61.06014679330005,43.254815171576105,25.416805817844107,179.56048387096774,165.39979627984957
3,Stationary - Time Series Regression,6057.828086615727,64.32344326940867,46.53889581621177,27.899677919941553,179.56048387096774,184.26774573533322
4,Original - Exponential Smoothing,4749.165741040784,55.864658637361515,38.51607825419451,22.09518293243776,179.56048387096774,165.91913435851194
5,Deseasonal - Exponential Smoothing,4774.382729101309,55.52749962626048,37.488666372473055,21.842300057494818,179.56048387096774,166.74977829539338
6,BoxCox - Exponential Smoothing,4653.246555290298,54.94650804454896,37.55588050289464,21.63598967796137,179.56048387096774,166.0930557846222
7,Stationary - Exponential Smoothing,5658.627362674635,63.86568010704973,43.65827816862848,26.08037591231428,179.56048387096774,179.4448875579161
8,Original - Auto Arima,5707.32936134555,63.8817018855915,45.98160477596157,27.44151589041875,179.56048387096774,169.58296566575376
9,Deseasonal - Auto Arima,9591.527185278153,77.05242361132444,59.64175840053201,35.254540272287656,179.56048387096774,191.56794941230538
10,BoxCox - Auto Arima,11358.34544979795,84.30111899905019,65.9703237151145,39.351480863686035,179.56048387096774,206.56190034491658
11,Stationary - Auto Arima,9014.243164654059,73.75528782399152,56.443310999977356,33.402951998699336,179.56048387096774,192.70947259695046
12,Original - Long Short Term Memory (LSTM),9381.265495216907,84.14781560114287,61.88061217924769,38.239570016728834,179.56048387096774,188.43056814052684
13,Deseasonal - Long Short Term Memory (LSTM),5064.390620140268,57.41027253638977,39.89381781516491,23.371863887786787,179.56048387096774,164.6530738309421
14,BoxCox - Long Short Term Memory (LSTM),5325.8429346860885,63.08657551845386,44.862383744663326,25.808697778314496,179.56048387096774,159.90665092996215
15,Stationary - Long Short Term Memory (LSTM),8713.799110121761,76.74865577436212,57.541622950300635,34.48131854942691,179.56048387096774,202.9348070791941
16,Original - XGBoost,4667.546621128807,68.31944540999149,59.339327289212136,28.32716288494138,221.8548387096774,190.84230041503906
