,Algorithm,MSE,RMSE,MAE,MAPE,Mean_True_Value,Mean_Predict_Value
0,Original - Time Series Regression,5296.329792442933,60.78458456475943,42.96063145055911,25.55366344564189,179.56048387096774,168.0085962902781
1,Deseasonal - Time Series Regression,5081.777759510358,58.208746398631924,40.122246901174975,23.488563265712116,179.56048387096774,164.67008450435145
2,BoxCox - Time Series Regression,5328.602464933523,61.06014679330005,43.254815171576105,25.416805817844107,179.56048387096774,165.39979627984957
3,Stationary - Time Series Regression,6057.828086615727,64.32344326940867,46.53889581621177,27.899677919941553,179.56048387096774,184.26774573533322
4,Original - Exponential Smoothing,4749.165749817245,55.86465881359395,38.51607842336806,22.095183110595148,179.56048387096774,165.91913562554046
5,Deseasonal - Exponential Smoothing,4774.382728058654,55.52749961670756,37.488666357999826,21.84230005014591,179.56048387096774,166.74977830569046
6,BoxCox - Exponential Smoothing,4653.246577717897,54.94650812952269,37.55588056906574,21.635989707373575,179.56048387096774,166.09305571433654
7,Stationary - Exponential Smoothing,5658.627241652353,63.86567954786438,43.658277646451666,26.080375921881203,179.56048387096774,179.444886348299
8,Original - Auto Arima,5707.329361325143,63.88170188525226,45.98160477567943,27.441515891007832,179.56048387096774,169.58296567146365
9,Deseasonal - Auto Arima,9591.302944367248,77.05118915604025,59.64024357143657,35.25353606737797,179.56048387096774,191.56847294054498
10,BoxCox - Auto Arima,11393.604916649901,84.40922277431284,66.06974047721326,39.346984245032054,179.56048387096774,206.49628182811523
11,Stationary - Auto Arima,9016.4924289341,73.76037400265953,56.44738731439651,33.40802824160501,179.56048387096774,192.73513980059738
12,Original - Long Short Term Memory (LSTM),9381.265495216907,84.14781560114287,61.88061217924769,38.239570016728834,179.56048387096774,188.43056814052684
13,Deseasonal - Long Short Term Memory (LSTM),5064.390620140268,57.41027253638977,39.89381781516491,23.371863887786787,179.56048387096774,164.6530738309421
14,BoxCox - Long Short Term Memory (LSTM),5325.8429346860885,63.08657551845386,44.862383744663326,25.808697778314496,179.56048387096774,159.90665092996215
15,Stationary - Long Short Term Memory (LSTM),8713.799110121761,76.74865577436212,57.541622950300635,34.48131854942691,179.56048387096774,202.9348070791941
16,Original - XGBoost,4667.546621128807,68.31944540999149,59.339327289212136,28.32716288494138,221.8548387096774,190.84230041503906
